iter	Passed	Remaining
0	0	86
1	1	76
2	2	70
3	2	63
4	3	61
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	55
11	7	54
12	8	54
13	8	53
14	9	52
15	9	51
16	10	50
17	10	49
18	11	48
19	11	47
20	12	46
21	12	46
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	18	40
31	18	39
32	19	38
33	19	38
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	23	34
40	23	34
41	23	33
42	24	32
43	24	31
44	25	31
45	26	30
46	26	29
47	27	29
48	27	28
49	28	28
50	29	28
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	34	24
58	34	24
59	35	23
60	35	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	41	16
72	42	15
73	43	15
74	43	14
75	44	14
76	44	13
77	45	12
78	46	12
79	46	11
80	47	11
81	48	10
82	48	9
83	49	9
84	49	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	58	0
99	58	0
