iter	Passed	Remaining
0	354	353937
1	355	177356
2	357	118704
3	358	89222
4	359	71548
5	362	60035
6	364	51723
7	365	45337
8	366	40359
9	367	36390
10	368	33162
11	370	30481
12	371	28180
13	372	26213
14	373	24496
15	373	22984
16	377	21799
17	378	20642
18	379	19595
19	380	18642
20	381	17781
21	382	16999
22	383	16286
23	384	15631
24	386	15055
25	387	14498
26	388	14004
27	392	13630
28	395	13252
29	398	12873
30	399	12481
31	400	12103
32	401	11753
33	402	11422
34	402	11103
35	405	10870
36	407	10608
37	408	10352
38	409	10096
39	410	9856
40	411	9630
41	412	9414
42	414	9232
43	416	9051
44	417	8862
45	418	8678
46	422	8572
47	423	8408
48	424	8245
49	425	8087
50	426	7938
51	427	7791
52	428	7649
53	429	7518
54	430	7390
55	431	7265
56	431	7143
57	433	7036
58	437	6972
59	438	6873
60	439	6767
61	440	6666
62	441	6567
63	442	6472
64	443	6379
65	444	6290
66	445	6205
67	446	6121
68	448	6051
69	451	6004
70	453	5935
71	454	5863
72	455	5787
73	456	5715
74	457	5643
75	458	5578
76	459	5510
77	460	5444
78	461	5381
79	462	5318
80	463	5256
81	466	5220
82	467	5163
83	468	5105
84	469	5052
85	470	4996
86	471	4943
87	472	4892
88	472	4840
89	473	4788
90	474	4737
91	475	4689
92	476	4646
93	477	4602
94	481	4583
95	482	4540
96	483	4503
97	484	4459
98	485	4416
99	485	4373
100	486	4330
101	487	4292
102	488	4252
103	488	4212
104	489	4173
105	490	4135
106	491	4098
107	491	4061
108	492	4026
109	493	3995
110	495	3970
111	496	3937
112	497	3906
113	498	3873
114	499	3844
115	500	3812
116	500	3779
117	501	3748
118	502	3720
119	503	3695
120	504	3666
121	505	3635
122	505	3605
123	506	3576
124	506	3548
125	507	3522
126	510	3508
127	511	3484
128	512	3459
129	512	3433
130	513	3407
131	514	3382
132	516	3364
133	516	3340
134	517	3315
135	518	3291
136	518	3267
137	519	3244
138	520	3221
139	520	3198
140	522	3184
141	523	3162
142	525	3146
143	525	3126
144	526	3104
145	527	3083
146	527	3063
147	528	3043
148	529	3022
149	529	3002
150	530	2981
151	531	2962
152	532	2945
153	532	2927
154	533	2907
155	534	2889
156	534	2870
157	535	2852
158	535	2834
159	538	2828
160	539	2812
161	540	2795
162	541	2779
163	542	2763
164	542	2747
165	543	2731
166	544	2716
167	545	2703
168	547	2692
169	548	2676
170	548	2661
171	549	2645
172	550	2632
173	552	2625
174	553	2610
175	554	2596
176	555	2582
177	556	2568
178	557	2554
179	557	2540
180	558	2526
181	558	2512
182	559	2499
183	560	2485
184	561	2473
185	562	2460
186	563	2451
187	564	2439
188	565	2427
189	567	2421
190	569	2411
191	569	2398
192	570	2385
193	571	2373
194	571	2360
195	572	2348
196	573	2336
197	573	2324
198	574	2313
199	575	2301
200	578	2299
201	579	2289
202	580	2280
203	583	2277
204	584	2266
205	585	2256
206	586	2245
207	586	2234
208	588	2226
209	589	2217
210	590	2206
211	590	2195
212	591	2184
213	592	2174
214	592	2163
215	593	2153
216	593	2142
217	594	2131
218	594	2121
219	595	2110
220	595	2100
221	598	2098
222	599	2090
223	603	2089
224	603	2080
225	604	2071
226	605	2061
227	605	2051
